SENSORNAME,VIIRS
PIXELMETERS,500
BAND,BLUE
WAVE,RSR
536.3,0.066170418
537.1,0.11037852
537.9,0.14827442
538.7,0.24265258
539.5,0.30844994
540.3,0.43305945
541.1,0.55780897
541.9,0.73859563
542.7,0.82510193
543.5,0.90081416
544.3,0.90281769
545.1,0.90950108
545.9,0.91438056
546.7,0.91445814
547.5,0.92965667
548.3,0.95346595
549.1,0.97405313
549.9,0.98139754
550.7,0.9879507
551.5,0.98833991
552.3,0.98676001
553.1,0.98307446
553.9,0.98643281
554.7,0.98809884
555.5,0.99706506
556.3,1
557.1,0.97261294
557.9,0.87649167
558.7,0.79769057
559.5,0.70722678
560.3,0.55922557
561.1,0.39207779
561.9,0.24189418
562.7,0.15655596
563.5,0.12234861
564.3,0.088642998
565.1,0.074625912
565.9,0.04827693
566.7,0.039756445
567.5,0.03825974
568.3,0.032269265
569.1,0.025552624
569.9,0.019942096
570.7,0.016399009
571.5,0.013771449
572.3,0.011449613
573.1,0.00869839
573.9,0.007541816
574.7,0.006511956
575.5,0.005424848
576.3,0.005187072
577.1,0.004830851
577.9,0.00447479
578.7,0.004118988
579.5,0.003982199
580.3,0.003976613
581.1,0.003970826
581.9,0.003965142
582.7,0.003959362
583.5,0.003953683
584.3,0.003874592
585.1,0.003798624
585.9,0.003588452
586.7,0.003285731
587.5,0.002983096
588.3,0.002935427
589.1,0.002958196
589.9,0.002980951
590.7,0.003003593
591.5,0.003112692
592.3,0.003273454
593.1,0.003434116
593.9,0.003594779
594.7,0.003671842
595.5,0.003663704
596.3,0.003655571
597.1,0.003647541
597.9,0.003639416
598.7,0.003685859
599.5,0.003739966
600.3,0.003793849
601.1,0.003742738
601.9,0.003676903
602.7,0.003492507
603.5,0.003680828
604.3,0.004824687
605.1,0.006097032
605.9,0.007537257
606.7,0.007695337
607.5,0.008389818
608.3,0.010701386
609.1,0.007159705
609.9,0.006135326
610.7,0.004598951
611.5,0.002279604
612.3,0.001333249
BAND,RED
WAVE,RSR
566.1,0.001137644
566.9,0.001160731
567.7,0.001216502
568.5,0.00127498
569.3,0.001331121
570.1,0.001391228
570.9,0.00146055
571.7,0.001598306
572.5,0.0017402
573.3,0.001882554
574.1,0.002016764
574.9,0.002127728
575.7,0.002443805
576.5,0.002777986
577.3,0.003114324
578.1,0.003476086
578.9,0.003913452
579.7,0.004973067
580.5,0.006086049
581.3,0.007207203
582.1,0.008424811
582.9,0.009928717
583.7,0.013765013
584.5,0.017798503
585.3,0.021862769
586.1,0.026201306
586.9,0.031353745
587.7,0.043070674
588.5,0.055349949
589.3,0.06771732
590.1,0.080949545
590.9,0.096748538
591.7,0.13338594
592.5,0.17182123
593.3,0.2105393
594.1,0.25057332
594.9,0.29458021
595.7,0.37056496
596.5,0.4491101
597.3,0.52801609
598.1,0.60562694
598.9,0.67945186
599.7,0.71989996
600.5,0.75706038
601.3,0.79356887
602.1,0.8287537
602.9,0.86009886
603.7,0.86372767
604.5,0.86530811
605.3,0.86659554
606.1,0.86813419
606.9,0.87043444
607.7,0.87876657
608.5,0.88761993
609.3,0.89654879
610.1,0.90514789
610.9,0.91280065
611.7,0.9134596
612.5,0.91362099
613.3,0.91371339
614.1,0.91391176
614.9,0.91442587
615.7,0.9176476
616.5,0.9210963
617.3,0.92457819
618.1,0.92807938
618.9,0.93163607
619.7,0.93518761
620.5,0.9385159
621.3,0.94172685
622.1,0.9447735
622.9,0.94733416
623.7,0.94558335
624.5,0.94343009
625.3,0.94121014
626.1,0.93913745
626.9,0.93749512
627.7,0.9399787
628.5,0.94280681
629.3,0.94568703
630.1,0.94882218
630.9,0.95271509
631.7,0.96191796
632.5,0.9714823
633.3,0.98108389
634.1,0.99032473
634.9,0.99855304
635.7,0.99933101
636.5,0.99965837
637.3,0.99993376
638.1,1
638.9,0.99944543
639.7,0.99383748
640.5,0.98763635
641.3,0.98127713
642.1,0.97481578
642.9,0.9680126
643.7,0.95766604
